shape,seed,stat,ai
uniform,34,kurtosis,0.03508771929824564
uniform,35,mean,0.29374999999999996
uniform,35,variance,0.1163194444444444
uniform,35,kurtosis,0.4487704918032789
uniform,36,mean,0.5640624999999999
uniform,36,variance,-0.04166666666666665
uniform,36,kurtosis,0.020833333333333558
uniform,37,mean,0.6207386363636359
uniform,37,variance,0.1325301204819278
uniform,37,kurtosis,0.1736111111111111
uniform,38,mean,0.7657657657657653
uniform,38,variance,-0.016917293233082685
uniform,38,kurtosis,0.0731132075471695
uniform,39,mean,0.6499999999999998
uniform,39,variance,0.028106508875739573
uniform,39,kurtosis,-0.0571428571428572
uniform,40,mean,0.5910326086956519
uniform,40,variance,0.15650406504065037
uniform,40,kurtosis,-0.29734848484848486
uniform,41,mean,0.5625000000000001
uniform,41,variance,0.04744525547445251
uniform,41,kurtosis,0.05745341614906819
uniform,42,mean,0.5816993464052287
uniform,42,variance,-0.1552287581699347
uniform,42,kurtosis,-0.1261467889908254
uniform,43,mean,0.5674603174603177
uniform,43,variance,0.17434210526315794
uniform,43,kurtosis,0.23097826086956513
uniform,44,mean,0.48417721518987333
uniform,44,variance,-0.01851851851851868
uniform,44,kurtosis,0.24823943661971826
uniform,45,mean,0.8628048780487807
uniform,45,variance,-0.09399999999999994
uniform,45,kurtosis,0.0386363636363636
uniform,46,mean,0.3589743589743591
uniform,46,variance,-0.03911564625850333
uniform,46,kurtosis,-0.24655172413793094
uniform,47,mean,0.5372340425531913
uniform,47,variance,-0.014705882352941187
uniform,47,kurtosis,0.10845588235294112
uniform,48,mean,0.5059171597633139
uniform,48,variance,-0.06302521008403339
uniform,48,kurtosis,-0.29205607476635537
uniform,49,mean,0.5015527950310559
uniform,49,variance,-0.09567901234567902
uniform,49,kurtosis,0.18674698795180714
uniform,50,mean,0.6779411764705884
uniform,50,variance,0.12689393939393936
uniform,50,kurtosis,-0.06896551724137936
uniform,51,mean,0.536144578313253
uniform,51,variance,0.11347517730496463
uniform,51,kurtosis,0.19130434782608677
uniform,52,mean,0.5898437499999998
uniform,52,variance,0.14716312056737588
uniform,52,kurtosis,0.061666666666666835
uniform,53,mean,0.6646341463414634
uniform,53,variance,-0.21621621621621603
uniform,53,kurtosis,0.05842391304347823
uniform,54,mean,0.8255494505494508
uniform,54,variance,0.17477876106194673
uniform,54,kurtosis,-0.0655737704918035
uniform,55,mean,0.6930379746835443
uniform,55,variance,-0.11567164179104464
uniform,55,kurtosis,-0.1483050847457628
uniform,56,mean,0.7271341463414634
uniform,56,variance,0.2108208955223879
uniform,56,kurtosis,-0.16111111111111096
uniform,57,mean,0.6097122302158275
uniform,57,variance,-0.06896551724137936
uniform,57,kurtosis,-0.002808988764045133
uniform,58,mean,0.8596774193548388
uniform,58,variance,0.05132450331125806
uniform,58,kurtosis,0.11739130434782591
uniform,59,mean,0.4402777777777778
uniform,59,variance,0.5727611940298508
uniform,59,kurtosis,0.06249999999999983
uniform,60,mean,0.3323353293413174
uniform,60,variance,0.2066666666666667
uniform,60,kurtosis,-0.04914529914529924
uniform,61,mean,0.5730337078651684
uniform,61,variance,0.10000000000000017
uniform,61,kurtosis,0.25789473684210545
uniform,62,mean,0.5862573099415205
uniform,62,variance,-0.05993150684931501
uniform,62,kurtosis,0.02245508982035933
uniform,63,mean,0.3870481927710843
uniform,63,variance,0.3214285714285717
uniform,63,kurtosis,-0.14453125
uniform,64,mean,0.47596153846153827
uniform,64,variance,0.06468531468531456
uniform,64,kurtosis,-0.2775590551181102
uniform,65,mean,0.5650887573964495
uniform,65,variance,0.2848837209302327
uniform,65,kurtosis,0.3039568345323741
uniform,66,mean,0.7227011494252876
uniform,66,variance,0.08526011560693637
uniform,66,kurtosis,-0.2882882882882882
uniform,67,mean,0.7234636871508378
uniform,67,variance,0.06612903225806455
uniform,67,kurtosis,-0.16520467836257308
uniform,68,mean,0.5781250000000001
uniform,68,variance,0.12748344370860917
uniform,68,kurtosis,0.06420765027322387
uniform,69,mean,0.9250000000000003
uniform,69,variance,0.3580246913580247
uniform,69,kurtosis,0.005597014925373016
uniform,70,mean,0.41225165562913874
uniform,70,variance,0.08628318584070807
uniform,70,kurtosis,-0.3489208633093525
uniform,71,mean,0.3708791208791209
uniform,71,variance,0.0018115942028985117
uniform,71,kurtosis,0.0
uniform,72,mean,0.3394886363636364
uniform,72,variance,0.11301369863013701
uniform,72,kurtosis,-0.09466019417475743
uniform,73,mean,0.6474719101123595
uniform,73,variance,0.24173553719008264
uniform,73,kurtosis,-0.27272727272727254
uniform,74,mean,0.4562841530054643
uniform,74,variance,-0.20705521472392635
uniform,74,kurtosis,-0.3181818181818183
uniform,75,mean,0.5305343511450383
uniform,75,variance,0.37037037037037035
uniform,75,kurtosis,0.15645161290322593
uniform,76,mean,0.5445945945945945
uniform,76,variance,0.06567796610169503
uniform,76,kurtosis,0.008620689655172618
uniform,77,mean,0.6342975206611571
uniform,77,variance,0.09533898305084733
uniform,77,kurtosis,0.06919642857142867
uniform,78,mean,0.6359375
uniform,78,variance,-0.043939393939393945
uniform,78,kurtosis,0.10775862068965517
uniform,79,mean,0.3293010752688173
uniform,79,variance,0.21675531914893606
uniform,79,kurtosis,-0.23684210526315794
uniform,80,mean,0.2626404494382024
uniform,80,variance,0.3285714285714288
uniform,80,kurtosis,-0.12499999999999993
uniform,81,mean,0.5327868852459018
uniform,81,variance,0.07267441860465117
uniform,81,kurtosis,-0.2456140350877194
uniform,82,mean,0.7320143884892089
uniform,82,variance,0.12318840579710137
uniform,82,kurtosis,-0.4140624999999999
uniform,83,mean,0.5164835164835169
uniform,83,variance,-0.1450381679389311
uniform,83,kurtosis,-0.12977099236641215
uniform,84,mean,0.5920329670329668
uniform,84,variance,0.12307692307692321
uniform,84,kurtosis,-0.31569343065693445
uniform,85,mean,0.43352601156069354
uniform,85,variance,0.29687499999999994
uniform,85,kurtosis,0.12413793103448285
uniform,86,mean,0.4425133689839574
uniform,86,variance,0.1496350364963504
